id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.0001647377141767187,0.3326229526728842,0.46443517799383344,0.15122900137331574,0.0002135630999023333,0.0001744009053740552,0.050997908958026854,7.865539320788614e-05,8.360188927872215e-05
2,0.000543332030374767,3.165485832360292e-05,2.0468573221966152e-06,2.516977202630959e-06,1.0375289072963884e-06,6.984522627951346e-05,0.0003508664459144206,0.9988991002736577,9.959980201793765e-05
3,0.00017985314837595435,0.12011082412048911,3.0761036627422055e-05,0.04250742100837814,1.5684993245787207e-05,0.8282774642393023,0.007865583281082741,0.000388015305691561,0.0006243928668069344
4,0.3173180541359515,0.09631033210507982,0.03293184520831494,0.003331506588446042,0.01295299264723119,0.014815069686103124,0.08321240566732974,0.12732895581191564,0.31179883814962805
5,4.828626983583779e-05,0.7931661137656212,0.07766599203019295,0.1181663532704236,7.68764581295511e-05,3.315895456409653e-05,0.010674517701347329,7.2350828038307e-06,0.00016146646708166323
6,2.9296655993163546e-05,0.9025802435628708,0.09310675547731864,0.00030377241066277316,0.000642793237339174,0.00019800127571178067,0.0023102363901445155,0.0006825344427467216,0.00014636654721225125
7,3.016561750910343e-05,0.9182542543080141,0.07686199658860887,0.003851902445339096,0.000659195837336458,2.5000621536643523e-06,2.0517796813480167e-05,3.9852960852187634e-05,0.0002796143833729703
8,0.00025197318458933043,0.925551999148737,0.05873571330977703,0.013039151106284334,0.000181461534615841,4.230497935894918e-06,0.00024496345287610983,2.8276506347360533e-05,0.001962231258837252
9,0.00010600085294017929,0.1624821260809734,0.7096518323962758,0.08571293149415253,2.2225139446402566e-06,0.00029965805530982634,0.04114520509999179,8.37597693168432e-06,0.0005916475294801288
10,0.00011754111287239355,0.3889573448251692,0.5311059889533457,0.07607591530883283,0.0005117161755858807,6.4088352264232e-05,0.0003009053249468992,9.351357155970971e-05,0.0027729863754230332
11,0.032489909304074215,8.482493495139362e-05,7.395389803674692e-07,0.0010342922508727098,4.580252447007609e-05,0.9193146651600096,0.0019637463038132087,0.0034020445438018147,0.0416639754390266
12,0.009220091827454752,2.7591334903227076e-05,0.00018380449394212527,0.00011904638808743447,2.946622747555389e-06,0.004864573373133382,4.5298271970274974e-05,0.9838184846002183,0.0017181630875429369
13,3.690016056207816e-05,0.7284247958833258,0.24954920259299,0.0010039197623323383,0.0017954470105579318,0.005165278182777105,0.0031236260695884097,0.010658928182760163,0.0002419021551062158
14,0.006466322538969953,3.9401069175187555e-05,0.0006487466166536417,1.0739931678181306e-06,3.108749552914426e-06,0.01827789692198407,0.02568295982318099,0.9443524526635099,0.0045280376238055215
